Data,Descrizione,Conto,Entrate,Uscite
2026-02-03,RABEN ITALY SRL,40000,13527,
2026-02-03,PRODUCTA SRL,40000,3082,
2026-02-03,PRODUCTA SRL,40000,7074,
2026-02-03,PLASTIKNOVA SRL,40000,19068,
2026-02-03,OMIS SERVICE SRL,40000,17521,
2026-02-03,OMIS SERVICE SRL,40000,8911,
2026-02-03,RABEN ITALY SRL,40000,7927,
2026-02-03,OMIS SERVICE SRL,40000,4136,
2026-02-03,PLASTIKNOVA SRL,40000,4973,
2026-02-03,PLASTIKNOVA SRL,40000,17864,
2026-02-03,RABEN ITALY SRL,40000,1865,
2026-02-03,ONLY JOB SRL,40000,2067,
2026-02-03,RABEN ITALY SRL,40000,15953,
2026-02-03,PLASTIKNOVA SRL,40000,19051,
2026-02-03,PRODUCTA SRL,40000,13611,
2026-02-03,POSA SPA A SOCIO UNICO,40000,15686,
2026-02-03,RABEN ITALY SRL,40000,11564,
2026-02-03,RABEN ITALY SRL,40000,7512,
2026-02-03,PRODUCTA SRL,40000,4637,
2026-02-03,RABEN ITALY SRL,40000,4950,
2026-02-03,RABEN ITALY SRL,40000,11231,
2026-02-03,OMIS SERVICE SRL,40000,18021,
2026-02-03,ONLY JOB SRL,40000,8358,
2026-02-03,ONLY JOB SRL,40000,13755,
2026-02-03,POSA SPA A SOCIO UNICO,40000,5761,
2026-02-03,RABEN ITALY SRL,40000,7836,
2026-02-03,PLASTIKNOVA SRL,40000,7969,
2026-02-03,PLASTIKNOVA SRL,40000,16395,
2026-02-03,RABEN ITALY SRL,40000,1703,
2026-02-03,OMIS SERVICE SRL,40000,7825,
2026-02-03,POSA SPA A SOCIO UNICO,40000,13405,
2026-02-03,RABEN ITALY SRL,40000,12811,
2026-02-03,ONLY JOB SRL,40000,8767,
2026-02-03,POSA SPA A SOCIO UNICO,40000,11691,
2026-02-03,PRODUCTA SRL,40000,3774,
2026-02-03,PLASTIKNOVA SRL,40000,4178,
2026-02-03,RABEN ITALY SRL,40000,10377,
2026-02-03,POSA SPA A SOCIO UNICO,40000,13460,
2026-02-03,POSA SPA A SOCIO UNICO,40000,18183,
2026-02-03,POSA SPA A SOCIO UNICO,40000,7723,
2026-02-03,PRODUCTA SRL,40000,15321,
2026-02-03,ONLY JOB SRL,40000,17458,
2026-02-03,POSA SPA A SOCIO UNICO,40000,18747,
2026-02-03,RABEN ITALY SRL,40000,14629,
2026-02-03,PRODUCTA SRL,40000,19300,
2026-02-03,PRODUCTA SRL,40000,17863,
2026-02-03,PRODUCTA SRL,40000,16944,
2026-02-03,PLASTIKNOVA SRL,40000,16676,
2026-02-03,RABEN ITALY SRL,40000,13151,
2026-02-03,RABEN ITALY SRL,40000,7717,
2026-02-03,PRODUCTA SRL,40000,19993,
2026-02-03,RABEN ITALY SRL,40000,17435,
2026-02-03,PRODUCTA SRL,40000,14978,
2026-02-03,PLASTIKNOVA SRL,40000,6999,
2026-02-03,OMIS SERVICE SRL,40000,14447,
2026-02-03,POSA SPA A SOCIO UNICO,40000,17956,
2026-02-03,PRODUCTA SRL,40000,17181,
2026-02-03,PRODUCTA SRL,40000,1731,
2026-02-03,POSA SPA A SOCIO UNICO,40000,6051,
2026-02-03,RABEN ITALY SRL,40000,719,
2026-02-03,POSA SPA A SOCIO UNICO,40000,10397,
2026-02-03,PLASTIKNOVA SRL,40000,5859,
2026-02-03,OMIS SERVICE SRL,40000,12044,
2026-02-03,RABEN ITALY SRL,40000,2853,
2026-02-03,ONLY JOB SRL,40000,14857,
2026-02-03,ONLY JOB SRL,40000,15505,
2026-02-03,PLASTIKNOVA SRL,40000,14374,
2026-02-03,POSA SPA A SOCIO UNICO,40000,16017,
2026-02-03,ONLY JOB SRL,40000,9208,
2026-02-03,RABEN ITALY SRL,40000,5664,
